Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1166.3499755859375,1208.5,1162.3499755859375,1169.9000244140625,1061.435791015625,14447
2018-01-02,1174.6500244140625,1182.050048828125,1160.0,1165.5999755859375,1057.534423828125,3644
2018-01-03,1201.0,1223.0,1182.050048828125,1186.699951171875,1076.677978515625,16398
2018-01-04,1201.9000244140625,1201.9000244140625,1166.0,1176.0999755859375,1067.0611572265625,5813
2018-01-05,1184.0,1189.800048828125,1170.0,1172.3499755859375,1063.6585693359375,6071
2018-01-08,1180.0,1185.300048828125,1147.0,1164.949951171875,1056.944580078125,24706
2018-01-09,1173.300048828125,1176.9000244140625,1150.0,1153.050048828125,1046.1478271484375,8996
2018-01-10,1166.8499755859375,1170.5999755859375,1151.0,1155.300048828125,1048.1893310546875,4789
2018-01-11,1158.4000244140625,1159.1500244140625,1132.0,1142.3499755859375,1036.4398193359375,8883
2018-01-12,1150.0,1153.800048828125,1140.0,1143.9000244140625,1037.84619140625,5256
2018-01-15,1145.0,1167.0,1145.0,1147.800048828125,1041.384765625,3027
2018-01-16,1141.0999755859375,1150.050048828125,1110.0,1117.050048828125,1013.485595703125,5887
2018-01-17,1115.050048828125,1140.0,1111.3499755859375,1123.3499755859375,1019.201416015625,5941
2018-01-18,1145.0,1145.0,1101.0,1109.5,1006.6355590820312,6195
2018-01-19,1134.0,1134.0,1090.050048828125,1105.6500244140625,1003.142333984375,5535
2018-01-22,1105.199951171875,1122.1500244140625,1085.0,1096.800048828125,995.1130981445312,4437
2018-01-23,1119.0,1228.0,1111.3499755859375,1161.8499755859375,1054.1319580078125,170407
2018-01-24,1166.4000244140625,1188.0,1132.75,1142.699951171875,1036.7574462890625,28630
2018-01-25,1145.699951171875,1173.949951171875,1135.050048828125,1155.6500244140625,1048.5069580078125,24142
2018-01-29,1174.0,1221.9000244140625,1157.1500244140625,1165.0999755859375,1057.08056640625,78332
2018-01-30,1194.0,1194.0,1130.0,1133.9000244140625,1028.7734375,14669
2018-01-31,1140.0,1152.949951171875,1125.050048828125,1138.8499755859375,1033.264404296875,7636
2018-02-01,1133.9000244140625,1149.0,1118.6500244140625,1131.199951171875,1026.32373046875,7110
2018-02-02,1119.949951171875,1119.949951171875,1080.0,1085.25,984.6339111328125,7235
