Stock,Price,Volume,Marke Cap,Beta,PE Ratio,EPS
PNB.NS,38.85,59116555,441568000000,1.16,11.20,3.57
PVR.NS,1565.05,1301286,95682000000,0.61,N/A,-120.75
RBLBANK.NS,150.00,20537623,90427000000,1.19,N/A,-3.91
RECLTD.NS,136.85,6773790,272342000000,0.83,2.93,47.07
RELIANCE.NS,2530.00,6262839,17061000000000,1.01,31.77,79.38
SBILIFE.NS,1263.00,1314907,1249000000000,0.58,101.16,12.34
SHREECEM.NS,26950.50,29388,952612000000,0.54,36.33,726.72
SIEMENS.NS,2329.00,452985,847690000000,0.73,77.75,30.62
SRF.NS,2617.00,1324893,757919000000,0.6,50.39,50.74
SBIN.NS,505.00,19551708,4603000000000,1.01,16.07,32.10
SAIL.NS,105.50,38499605,432465000000,1.75,3.28,31.92
STAR.NS,426.40,1161272,37884000000,0.87,N/A,-31.65
SUNPHARMA.NS,848.00,3855567,2012000000000,0.48,33.35,25.15
SUNTV.NS,507.00,1438589,201121000000,0.76,11.88,42.97
SYNGENE.NS,606.30,678686,238149000000,0.66,59.18,10.03
TATACHEM.NS,1005.00,1825127,257724000000,1.18,37.82,26.75
TCS.NS,4012.00,2374752,14480000000000,0.68,38.48,101.73
TATACONSUM.NS,734.95,1762369,661759000000,0.6,91.14,7.87
TATAMOTORS.NS,510.00,26794429,1863000000000,2.09,N/A,-36.99
TATAPOWER.NS,239.00,52282815,794042000000,0.7,57.19,4.34
TATASTEEL.NS,1196.00,7353539,1502000000000,1.33,4.66,259.48
TECHM.NS,1663.10,2957966,1621000000000,0.63,29.07,57.44
INDIACEM.NS,236.95,4214783,78604000000,0.1,37.79,6.29
INDHOTEL.NS,207.35,7718986,276106000000,0.94,N/A,-5.11
RAMCOCEM.NS,968.00,390926,239234000000,0.57,20.09,47.90
TITAN.NS,2598.00,1396617,2298000000000,0.75,131.18,19.74
TORNTPHARM.NS,3178.00,244088,541708000000,0.25,42.77,74.84
TORNTPOWER.NS,566.10,1020924,270924000000,0.28,20.98,26.87
TRENT.NS,1145.00,779560,415195000000,0.44,601.21,1.94
TVSMOTOR.NS,640.00,2840260,312009000000,0.75,37.00,17.37
ULTRACEMCO.NS,7599.90,308629,2144000000000,N/A,33.01,225.21
UBL.NS,1617.15,347018,426327000000,0.68,127.23,12.67
MCDOWELL-N.NS,921.40,2120654,671087000000,0.37,77.67,11.89
UPL.NS,798.00,2554521,621360000000,1,20.67,39.34
VEDL.NS,319.50,20437568,1219000000000,1.58,6.52,49.81
IDEA.NS,11.85,325819956,356212000000,0.64,N/A,-15.40
VOLTAS.NS,1260.20,806276,415244000000,0.67,70.27,17.86
WIPRO.NS,631.00,7357382,3394000000000,0.67,28.11,22.10
ZEEL.NS,316.45,18870693,305012000000,0.56,26.34,12.05
