0,1,2,3
ea
tsla
mxim
googl,aapl
mu,klac,amat
tsla,gs,gm
aapl,googl,amzn
m,amzn
nvda,tsmc
aapl,amzn,msft,fb
mtw
v
msft
amzn,goog
