,Stock,Coefficient
157,TATAMOTORS.NS,11.20045255418233
158,TATAPOWER.NS,1.037147991781792
159,TATASTEEL.NS,7.999484665973018
160,TECHM.NS,11.155009120536556
161,INDIACEM.NS,1.200628397907945
162,INDHOTEL.NS,8.053239891804466
163,RAMCOCEM.NS,57.99083436081153
164,TITAN.NS,17.097327728860588
165,TORNTPHARM.NS,152.22140094486875
166,TORNTPOWER.NS,5.460020635052351
167,TRENT.NS,72.50280030487096
168,TVSMOTOR.NS,62.22491193357378
169,ULTRACEMCO.NS,25.43331035925972
170,UBL.NS,16.630731820164968
171,MCDOWELL-N.NS,97.36231041790671
172,UPL.NS,45.02502983377017
173,VEDL.NS,3.208945927358817
174,IDEA.NS,-1.5520485387902307
175,VOLTAS.NS,11.94200952660174
176,WIPRO.NS,3.676383638537615
177,ZEEL.NS,15.32564807640214
